Exported at: 2025-06-13 16:41:31
Setup: Setup Asa 1
Velocity: 0 km/h
Timestamp,Load Cell,Weight
16:40:43,FL,-0.002
16:40:43,FR,0.000
16:40:43,RL,-0.001
16:40:43,RR,0.000
16:40:44,FL,-0.001
16:40:44,FR,0.000
16:40:44,RL,-0.001
16:40:44,RR,0.000
16:40:46,FL,-0.001
16:40:46,FR,0.000
16:40:46,RL,0.000
16:40:46,RR,0.000
16:40:48,FL,-0.001
16:40:48,FR,0.000
16:40:48,RL,0.000
16:40:48,RR,0.000
16:40:51,FL,-0.001
16:40:51,FR,0.000
16:40:51,RL,0.000
16:40:51,RR,0.000
16:40:53,FL,0.747
16:40:53,FR,0.000
16:40:53,RL,0.697
16:40:53,RR,0.000
16:40:55,FL,1.332
16:40:55,FR,0.000
16:40:55,RL,1.098
16:40:55,RR,0.000
16:40:57,FL,1.959
16:40:57,FR,0.000
16:40:57,RL,1.580
16:40:57,RR,0.000
16:40:59,FL,2.352
16:40:59,FR,0.000
16:40:59,RL,1.865
16:40:59,RR,0.000
16:41:01,FL,3.082
16:41:01,FR,0.000
16:41:01,RL,2.598
16:41:01,RR,0.000
16:41:04,FL,0.280
16:41:04,FR,0.000
16:41:04,RL,0.162
16:41:04,RR,0.000
16:41:06,FL,3.593
16:41:06,FR,0.000
16:41:06,RL,2.721
16:41:06,RR,0.000
16:41:08,FL,3.623
16:41:08,FR,0.000
16:41:08,RL,2.766
16:41:08,RR,0.000
16:41:10,FL,3.863
16:41:10,FR,0.000
16:41:10,RL,2.784
16:41:10,RR,0.000
16:41:12,FL,3.709
16:41:12,FR,0.000
16:41:12,RL,2.778
16:41:12,RR,0.000
16:41:14,FL,3.465
16:41:14,FR,0.000
16:41:14,RL,2.513
16:41:14,RR,0.000
16:41:17,FL,3.829
16:41:17,FR,0.000
16:41:17,RL,2.847
16:41:17,RR,0.000
16:41:19,FL,3.644
16:41:19,FR,0.000
16:41:19,RL,2.615
16:41:19,RR,0.000
16:41:21,FL,3.181
16:41:21,FR,0.000
16:41:21,RL,2.313
16:41:21,RR,0.000
16:41:23,FL,2.930
16:41:23,FR,0.000
16:41:23,RL,2.209
16:41:23,RR,0.000
16:41:25,FL,3.022
16:41:25,FR,0.000
16:41:25,RL,2.385
16:41:25,RR,0.000
16:41:27,FL,8.270
16:41:27,FR,0.000
16:41:27,RL,7.062
16:41:27,RR,0.000
16:41:29,FL,11.304
16:41:29,FR,0.000
16:41:29,RL,10.157
16:41:29,RR,0.000

Exported at: 2025-06-13 16:41:46
Setup: Setup Asa 2
Velocity: 0 km/h
Timestamp,Load Cell,Weight
16:41:32,FL,4.509
16:41:32,FR,0.000
16:41:32,RL,1.956
16:41:32,RR,0.000
16:41:34,FL,0.523
16:41:34,FR,0.000
16:41:34,RL,1.045
16:41:34,RR,0.000
16:41:36,FL,4.170
16:41:36,FR,0.000
16:41:36,RL,3.476
16:41:36,RR,0.000
16:41:38,FL,4.456
16:41:38,FR,0.000
16:41:38,RL,3.505
16:41:38,RR,0.000
16:41:40,FL,3.485
16:41:40,FR,0.000
16:41:40,RL,2.682
16:41:40,RR,0.000
16:41:42,FL,3.264
16:41:42,FR,0.000
16:41:42,RL,2.456
16:41:42,RR,0.000
16:41:45,FL,2.792
16:41:45,FR,0.000
16:41:45,RL,1.290
16:41:45,RR,0.000

Exported at: 2025-06-13 16:41:55
Setup: Setup Asa 3
Velocity: 0 km/h
Timestamp,Load Cell,Weight
16:41:47,FL,0.866
16:41:47,FR,0.000
16:41:47,RL,0.223
16:41:47,RR,0.000
16:41:49,FL,1.226
16:41:49,FR,0.000
16:41:49,RL,1.654
16:41:49,RR,0.000
16:41:51,FL,2.858
16:41:51,FR,0.000
16:41:51,RL,1.968
16:41:51,RR,0.000
16:41:53,FL,0.065
16:41:53,FR,0.000
16:41:53,RL,0.457
16:41:53,RR,0.000

Exported at: 2025-06-13 16:42:02
Setup: Setup Asa 4
Velocity: 0 km/h
Timestamp,Load Cell,Weight
16:41:55,FL,2.785
16:41:55,FR,0.000
16:41:55,RL,2.022
16:41:55,RR,0.000
16:41:57,FL,0.318
16:41:57,FR,0.000
16:41:57,RL,0.464
16:41:57,RR,0.000
16:42:00,FL,2.040
16:42:00,FR,0.000
16:42:00,RL,1.770
16:42:00,RR,0.000

